,Marital status,Application mode,Application order,Daytime/evening attendance	,Previous qualification,Mother's qualification,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP
1509,1,17,3,1,1,3,130.8,1,0,1,0,0,19,8,8,8,13.427499999999998,8,8,8,13.427499999999998,-3.12
3064,1,51,1,1,1,3,116.2,0,0,1,1,0,24,6,11,5,12.857142857142858,6,12,5,13.666666666666666,2.02
3178,1,1,1,1,1,38,115.6,0,0,1,1,1,20,5,8,5,12.375,5,7,5,11.666666666666666,0.79
2225,1,39,1,1,1,1,160.0,1,1,1,0,0,30,6,7,6,16.428571428571427,6,7,6,16.666666666666668,0.79
3222,1,1,1,1,1,1,146.5,0,0,1,0,1,18,6,6,6,13.333333333333334,6,6,6,14.166666666666666,-1.7
2340,1,17,2,1,1,1,119.6,1,0,1,0,1,22,6,11,5,12.0,6,11,5,11.0,0.32
3371,1,17,1,1,1,37,99.0,1,0,1,0,1,23,6,6,6,14.666666666666666,6,8,6,12.428571428571429,3.51
1723,1,1,4,1,1,19,124.0,0,0,0,0,0,18,4,4,0,0.0,4,4,0,0.0,-1.7
817,1,17,1,1,1,1,128.6,1,0,1,0,0,18,7,7,7,14.728571428571428,8,11,8,16.327272727272728,-0.92
207,1,1,1,1,1,19,123.4,1,0,1,0,1,18,6,10,6,13.25,6,13,5,14.142857142857142,2.02
1418,1,39,1,0,19,2,100.0,0,0,1,1,0,24,5,7,0,0.0,5,7,0,0.0,-0.92
2006,1,43,1,1,6,34,111.6,0,0,1,1,0,35,5,5,1,14.0,5,5,0,0.0,-3.12
1761,1,1,1,1,1,1,128.0,0,0,1,0,1,19,6,8,6,12.25,6,8,6,12.0,-0.92
3492,1,1,2,1,1,19,120.8,1,0,1,0,0,19,8,11,7,12.545714285714286,8,11,7,12.545714285714286,1.74
2005,1,7,1,1,3,1,130.0,1,0,0,1,0,32,17,31,11,12.727272727272728,12,24,10,12.7,-4.06
1900,1,1,1,1,1,19,128.0,0,0,1,1,0,18,8,8,0,0.0,8,8,0,0.0,1.74
300,1,39,1,1,43,3,172.0,0,0,1,0,0,26,6,0,0,0.0,6,0,0,0.0,3.51
3486,1,1,1,1,1,9,106.1,0,0,1,0,0,20,5,13,2,10.0,5,10,0,0.0,-3.12
905,1,17,1,1,1,12,122.2,0,0,1,0,1,19,6,6,6,13.666666666666666,6,9,6,13.666666666666666,3.51
3363,1,1,1,1,1,37,119.0,0,0,1,0,1,18,6,6,6,12.166666666666666,6,7,6,12.142857142857142,-4.06
566,4,39,1,1,19,37,100.9,0,0,1,1,0,48,6,0,0,0.0,6,0,0,0.0,-4.06
554,2,39,1,1,19,37,163.5,0,1,0,1,0,50,6,7,1,15.0,5,12,0,0.0,1.74
2684,2,1,1,1,1,37,122.7,0,0,1,0,1,45,6,10,4,11.5,6,16,2,10.5,0.32
1928,1,39,1,1,1,37,95.8,1,0,0,1,0,43,6,0,0,0.0,6,0,0,0.0,-4.06
122,1,43,1,1,1,3,108.7,1,0,1,0,0,21,6,10,3,12.666666666666666,6,12,3,10.0,-3.12
170,1,39,1,1,19,3,124.5,0,0,1,0,1,36,6,7,6,13.714285714285714,6,6,5,12.8,-0.92
3528,1,17,4,1,1,1,139.7,1,0,1,1,0,18,6,10,5,11.6,6,6,6,12.0,-3.12
3398,2,39,1,1,1,37,125.0,0,0,1,0,0,41,6,8,6,12.285714285714286,6,10,5,13.0,3.51
1070,1,17,5,1,1,1,116.5,1,0,0,1,0,18,6,12,0,0.0,6,0,0,0.0,-3.12
161,1,1,1,1,1,1,132.1,1,0,1,0,0,19,5,9,4,13.75,5,13,4,14.333333333333334,1.74
2886,1,43,1,0,4,3,125.0,0,0,1,1,0,26,5,7,5,12.6,5,7,5,13.714285714285714,0.79
1314,1,44,1,1,39,1,120.0,0,0,1,1,0,23,6,6,1,11.0,6,8,0,0.0,-4.06
1172,1,15,1,1,1,1,100.0,0,1,1,1,0,21,5,5,0,0.0,6,8,0,0.0,2.02
3415,1,44,1,0,39,37,120.0,1,0,1,0,1,23,6,8,5,11.8,6,8,6,12.333333333333334,-3.12
1945,1,17,5,1,1,1,110.2,1,0,1,1,0,21,6,10,4,11.5,6,10,2,10.5,-3.12
2499,1,17,2,1,1,1,116.7,1,0,1,0,0,19,6,8,5,13.0,6,8,4,10.75,-3.12
42,1,1,3,1,1,37,159.3,0,0,1,0,0,19,5,7,5,14.714285714285714,5,5,5,15.8,0.32
2882,1,17,1,1,1,3,116.4,1,1,1,1,0,19,0,0,0,0.0,0,0,0,0.0,1.74
2895,2,39,1,1,19,34,120.0,0,1,0,1,0,45,6,12,0,0.0,6,12,0,0.0,-3.12
1511,1,10,1,1,1,38,151.0,1,0,1,0,0,18,6,12,0,0.0,6,0,0,0.0,-3.12
582,1,39,1,0,1,37,96.0,0,1,0,1,0,50,6,6,0,0.0,5,6,0,0.0,1.79
3326,1,1,1,1,1,19,140.9,1,0,1,0,1,18,6,7,6,12.857142857142858,6,10,4,13.0,-1.7
2969,1,1,1,1,1,19,125.5,0,0,0,0,1,19,6,6,6,13.833333333333334,6,7,6,14.285714285714286,3.51
510,1,17,5,1,1,38,114.6,1,0,1,0,0,19,6,11,4,13.25,6,10,4,10.25,-3.12
2116,1,44,1,1,39,37,120.0,1,1,1,0,0,32,6,14,4,11.5,6,14,3,11.0,-0.92
3068,1,1,1,1,1,1,119.8,1,0,1,0,1,19,8,8,8,12.82875,8,8,8,12.82875,-3.12
424,2,39,1,1,1,37,148.8,0,0,1,0,0,50,6,7,6,12.5,6,15,5,12.4,3.51
2938,1,7,1,1,3,1,130.0,0,0,0,1,0,18,0,0,0,0.0,0,0,0,0.0,-3.12
1474,1,17,1,1,1,1,134.6,1,0,1,1,0,22,6,16,0,0.0,6,7,0,0.0,-0.92
3572,1,1,2,1,1,4,162.1,1,0,1,0,0,18,5,8,5,16.166666666666668,5,9,5,14.285714285714286,-3.12
2280,1,39,1,1,1,37,100.0,0,1,1,1,1,33,0,0,0,0.0,0,0,0,0.0,-4.06
20,1,1,4,1,1,1,114.9,1,0,1,0,1,19,6,8,6,13.375,6,7,6,12.285714285714286,2.02
3377,1,1,2,1,1,1,126.0,0,0,1,0,0,18,6,10,4,11.0,6,8,5,11.2,1.74
3525,1,44,1,1,39,1,130.0,1,0,1,1,0,20,6,14,5,11.714285714285714,6,15,5,12.0,-0.92
2361,2,39,1,0,12,34,157.8,0,0,1,0,0,44,8,13,8,13.75,6,9,6,12.5,0.32
2165,1,1,2,1,1,19,149.0,1,0,1,1,0,22,17,21,17,12.578947368421051,17,20,17,12.117647058823527,2.02
699,1,1,1,1,1,1,141.7,1,0,1,1,0,22,6,6,6,12.666666666666666,6,6,6,13.833333333333334,1.74
145,1,43,1,1,1,3,128.3,1,0,1,0,0,35,21,21,21,12.61904761904762,19,19,19,12.789473684210526,1.79
3082,1,7,1,1,3,1,125.1,0,1,0,0,0,27,6,8,0,0.0,5,6,0,0.0,-0.92
502,1,1,1,1,1,1,110.8,1,0,1,0,0,20,6,6,6,12.833333333333334,6,10,6,11.166666666666666,1.79
1766,1,17,5,1,1,37,126.1,1,0,0,0,0,18,6,9,4,11.5,6,6,6,12.166666666666666,0.32
3592,2,39,1,1,19,37,131.0,0,0,1,0,1,32,7,10,7,13.428571428571429,8,8,8,13.25,0.79
192,1,1,2,1,1,1,133.3,0,0,1,0,0,19,5,5,5,13.0,5,5,5,13.2,-3.12
3480,1,18,4,1,1,19,111.4,1,1,0,0,0,20,7,9,0,0.0,6,6,0,0.0,2.02
2193,1,1,2,1,1,19,117.2,0,0,1,1,0,21,6,8,3,12.0,6,9,1,11.0,-4.06
311,2,39,1,1,19,38,128.2,0,0,1,0,0,31,6,0,0,0.0,6,0,0,0.0,-1.7
459,1,39,1,0,1,1,140.7,0,0,1,1,0,25,5,13,1,10.0,5,8,2,11.333333333333334,1.79
3262,1,17,4,1,1,37,118.9,1,0,1,0,0,21,7,7,7,14.428571428571429,8,9,8,14.511111111111113,-0.92
2755,4,39,1,1,1,1,154.3,0,0,1,0,0,32,7,0,0,0.0,8,0,0,0.0,1.79
596,1,51,1,1,1,12,126.6,0,0,1,1,0,19,6,7,6,14.428571428571429,7,8,7,14.375,2.02
3243,1,39,1,1,19,1,111.8,1,0,1,0,0,27,7,0,0,0.0,8,0,0,0.0,2.02
1059,1,39,1,1,1,37,120.0,0,0,1,0,0,28,6,8,1,10.0,6,9,0,0.0,1.74
688,1,39,1,1,1,3,120.0,0,1,0,1,0,29,5,11,0,0.0,5,6,0,0.0,-3.12
2115,2,39,1,0,1,37,143.0,0,0,1,0,0,40,9,9,9,15.88888888888889,7,7,7,14.142857142857142,-1.7
1579,1,1,2,1,1,19,134.0,1,0,1,0,1,22,6,10,5,10.8,6,7,5,12.8,-1.7
621,1,1,3,1,1,37,125.9,1,0,1,1,1,20,6,6,6,15.5,6,7,6,12.166666666666666,1.79
612,2,43,1,1,1,1,156.1,1,0,0,1,0,29,6,6,0,0.0,6,8,0,0.0,-4.06
1823,1,5,2,1,1,1,146.2,1,0,1,1,0,18,6,7,5,13.2,6,6,5,11.8,-0.92
1461,2,39,1,0,1,37,150.0,0,1,1,1,0,35,5,6,5,10.8,5,7,5,12.0,-3.12
163,1,1,4,1,1,19,129.5,1,0,1,0,0,18,8,8,7,12.324285714285711,8,8,7,12.324285714285711,1.74
3568,1,44,1,1,39,3,140.0,1,0,1,0,1,20,6,11,6,11.833333333333334,6,17,5,11.857142857142858,1.79
884,1,39,1,0,1,37,131.5,0,0,1,0,0,27,6,8,5,11.0,6,7,6,11.166666666666666,2.02
1258,1,7,1,1,5,19,140.0,1,0,0,0,0,39,7,0,0,0.0,8,0,0,0.0,1.79
328,1,17,1,1,1,38,96.0,1,0,1,0,0,19,5,10,3,10.666666666666666,5,9,0,0.0,-0.92
616,1,1,2,1,1,1,128.4,1,0,1,0,0,18,7,7,7,13.471428571428572,8,9,8,13.944444444444445,-0.92
2823,1,1,5,1,1,19,122.1,1,0,1,0,1,19,7,8,7,11.678571428571429,8,10,7,13.0375,1.79
713,1,1,1,1,1,1,114.5,0,0,1,1,0,20,6,8,6,13.142857142857142,6,7,6,12.5,3.51
3497,2,39,1,0,12,37,138.4,0,0,1,1,0,30,5,7,3,11.666666666666666,5,8,1,11.0,0.32
1408,1,39,1,1,1,1,140.0,0,0,1,1,1,25,6,8,6,12.285714285714286,6,6,6,13.0,-4.06
933,1,42,1,1,1,1,136.0,1,0,1,0,0,21,7,9,7,14.355555555555554,8,8,8,13.49375,-4.06
3352,1,1,5,1,1,34,129.8,1,0,1,0,0,18,6,7,2,11.0,6,0,0,0.0,-3.12
2986,5,39,1,1,19,37,118.0,0,0,1,0,0,27,7,14,6,11.666666666666666,7,10,1,10.0,1.79
1209,1,1,1,1,1,19,131.6,1,0,1,1,0,19,12,17,11,12.0,12,21,12,12.307692307692308,-4.06
1772,1,1,2,1,1,3,141.0,1,0,1,0,0,19,0,0,0,0.0,0,0,0,0.0,-1.7
3102,1,17,2,1,1,1,148.6,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0.0,2.02
962,1,1,1,1,1,19,112.6,1,0,1,0,1,20,5,7,5,14.2,5,7,5,13.285714285714286,2.02
3406,1,43,3,1,1,38,146.5,0,0,1,0,0,21,14,26,12,13.417391304347827,14,26,12,13.417391304347827,0.32
1044,1,17,3,1,1,38,118.8,1,0,1,0,1,18,6,10,5,12.0,6,11,5,12.333333333333334,2.02
206,1,1,3,1,1,19,116.8,1,0,1,0,0,21,6,8,6,11.333333333333334,6,8,4,12.25,2.02
2953,1,44,1,1,39,1,106.0,0,0,1,1,0,21,7,7,5,11.8,9,9,5,11.0,1.79
1898,1,7,1,1,3,2,140.0,1,0,0,1,0,18,5,7,2,13.0,5,5,0,0.0,-1.7
3010,1,1,2,1,1,19,133.7,1,0,1,0,0,19,6,11,1,13.0,5,10,0,0.0,0.32
2281,1,17,1,1,1,19,112.9,1,0,0,1,0,19,5,7,2,12.5,5,13,1,11.0,-3.12
2993,1,1,1,0,1,19,135.0,0,0,1,0,1,20,5,5,5,12.4,5,6,5,12.833333333333334,1.74
888,1,1,1,1,1,37,123.0,0,0,1,0,0,18,5,8,5,12.333333333333334,5,7,5,11.4,-4.06
1712,1,1,1,1,1,19,136.1,1,0,1,0,1,18,6,6,6,14.0,6,6,6,13.666666666666666,1.79
1887,1,42,1,1,1,5,115.0,0,0,1,1,0,30,6,9,2,15.0,6,7,2,13.5,-4.06
3475,1,39,1,1,40,3,160.0,1,0,1,0,0,27,6,7,6,16.142857142857142,6,7,6,14.666666666666666,0.79
804,2,39,1,0,1,37,151.1,0,0,1,1,0,48,5,9,5,12.285714285714286,5,8,5,11.125,-0.92
3483,2,39,1,1,3,1,140.0,0,1,0,0,0,30,7,11,3,12.333333333333334,7,9,3,11.666666666666666,0.79
2675,1,1,1,1,1,2,117.4,1,0,1,0,0,19,5,7,4,12.75,5,5,5,12.0,1.74
3015,1,18,1,1,1,19,117.7,1,1,1,1,1,20,0,0,0,0.0,0,0,0,0.0,1.79
2456,1,1,1,1,1,3,133.0,1,0,1,0,0,19,6,6,6,14.666666666666666,6,8,6,13.666666666666666,1.79
1572,1,1,2,1,1,37,127.5,1,0,1,0,0,20,8,8,8,12.48375,8,8,8,12.48375,-3.12
1649,1,7,1,1,3,34,140.0,1,0,0,0,0,24,6,12,0,0.0,5,10,0,0.0,-3.12
169,1,1,1,1,1,19,115.1,1,0,1,0,0,19,6,8,6,13.857142857142858,6,9,5,13.4,0.79
499,1,17,1,1,1,19,117.6,0,0,1,0,0,18,6,0,0,0.0,6,0,0,0.0,1.79
137,1,17,2,1,1,37,108.0,0,0,1,0,0,20,7,8,7,12.457142857142856,8,8,8,13.5625,-4.06
320,1,44,1,0,39,37,156.1,0,0,1,0,1,21,6,6,6,14.666666666666666,6,6,6,14.166666666666666,0.79
2864,1,17,2,1,1,37,121.7,0,0,1,1,1,20,5,5,5,12.4,5,5,4,10.75,-3.12
3160,2,1,1,1,1,37,120.5,1,1,1,1,0,35,17,17,14,10.642857142857142,12,12,12,10.666666666666666,-4.06
474,1,1,4,1,1,37,136.7,1,0,1,0,0,20,6,6,4,13.5,6,8,6,13.625,1.74
1129,1,17,1,1,1,1,134.7,0,0,0,1,0,19,0,0,0,0.0,0,0,0,0.0,1.74
218,1,1,1,1,1,1,122.8,0,0,1,0,0,18,6,7,6,14.0,6,7,6,14.0,1.74
1114,1,18,1,1,1,37,119.3,1,0,1,0,1,19,8,8,7,11.4,8,8,7,11.4,1.74
1545,1,1,2,1,1,2,139.6,1,1,0,1,1,18,0,0,0,0.0,0,0,0,0.0,0.79
2038,1,1,1,1,1,19,131.3,0,0,1,1,1,22,6,6,6,12.666666666666666,6,6,5,12.4,1.79
2079,1,17,6,1,1,19,128.0,1,0,1,0,1,18,7,7,7,14.44142857142857,8,8,8,13.65625,2.02
306,1,1,1,1,1,38,112.9,1,0,1,0,1,19,7,8,7,13.857142857142858,7,8,6,13.666666666666666,3.51
2488,1,5,2,1,1,40,118.1,1,0,1,0,0,19,6,6,6,14.0,6,6,6,13.333333333333334,3.51
141,1,39,1,1,1,37,102.5,0,0,1,0,0,27,6,9,5,13.2,6,10,5,12.0,0.32
3164,1,39,1,0,19,38,142.7,0,1,1,1,1,34,5,11,5,14.714285714285714,5,14,5,14.375,-0.92
391,1,39,1,1,9,34,110.0,1,0,0,0,0,28,5,10,0,0.0,5,10,0,0.0,0.32
2935,1,39,1,0,1,38,154.4,0,0,1,1,0,27,5,0,0,0.0,5,0,0,0.0,1.74
2713,1,1,3,1,1,1,130.1,1,0,1,0,0,18,6,6,6,13.666666666666666,6,7,6,13.0,-4.06
1530,1,17,1,1,1,37,131.2,1,0,1,1,0,18,6,6,6,11.833333333333334,6,6,6,13.166666666666666,0.32
1920,1,39,1,1,1,19,110.0,1,0,1,1,0,31,6,8,0,0.0,6,10,0,0.0,-0.92
3583,1,17,1,1,1,19,120.4,1,0,1,1,0,18,6,10,6,14.7,6,10,6,12.0,-0.92
1182,1,17,1,1,1,3,121.6,0,0,1,0,0,18,6,6,6,13.666666666666666,6,8,5,13.6,3.51
3429,1,43,1,1,1,37,107.7,0,1,0,0,0,28,6,0,0,0.0,5,10,0,0.0,1.74
1163,1,17,5,1,1,38,110.2,1,1,1,0,0,19,6,6,5,11.6,6,6,6,12.5,3.51
615,1,39,1,1,6,1,107.0,1,0,1,1,0,30,5,5,0,0.0,5,5,0,0.0,0.32
3625,1,1,6,1,1,1,122.2,0,0,1,1,0,19,6,7,5,13.6,6,8,5,12.666666666666666,-4.06
2673,1,44,1,1,39,19,130.0,0,0,1,0,1,20,7,8,7,13.0,5,5,5,13.4,2.02
164,1,44,1,1,39,38,126.7,0,1,1,0,0,21,6,6,6,12.166666666666666,6,7,6,11.714285714285714,0.79
196,1,1,1,1,1,19,141.7,0,0,1,0,1,18,6,8,5,13.4,6,7,6,13.166666666666666,-3.12
1378,1,17,1,0,1,37,132.5,0,1,1,0,1,22,6,7,4,12.75,6,8,5,13.0,0.79
3112,1,43,2,1,1,3,123.5,1,0,1,1,0,22,6,12,0,0.0,6,6,0,0.0,-0.92
902,1,1,1,1,1,1,139.7,1,0,1,0,1,19,7,7,7,13.428571428571429,7,7,7,14.857142857142858,2.02
1787,1,17,2,1,1,34,114.6,1,1,0,0,0,18,5,8,3,12.0,5,6,4,10.75,0.32
2059,1,1,6,1,1,19,127.0,1,0,1,0,1,18,8,8,7,13.585714285714284,8,8,7,13.585714285714284,-1.7
1532,1,39,1,0,1,1,140.0,0,0,1,1,0,26,5,5,5,12.4,5,5,5,12.4,-4.06
390,1,1,2,1,1,19,140.0,1,0,1,0,0,20,7,7,6,13.966666666666669,7,7,6,13.966666666666669,0.32
2658,1,1,1,1,1,37,133.0,1,0,1,0,1,19,8,8,8,14.11,8,8,8,14.11,-3.12
593,1,39,1,0,1,37,115.5,0,0,0,1,0,33,6,6,1,11.0,6,0,0,0.0,1.74
3211,1,1,1,1,1,37,145.0,1,0,1,0,0,18,5,6,5,13.0,5,5,5,14.0,0.32
757,2,39,1,0,9,37,100.0,1,0,1,0,0,37,6,0,0,0.0,6,0,0,0.0,-3.12
3253,1,1,3,1,1,19,132.8,1,0,1,0,1,18,8,8,8,13.01125,8,8,8,13.01125,-3.12
2967,1,17,1,0,1,34,112.4,1,0,1,0,0,26,7,15,7,11.571428571428571,6,14,2,11.0,0.32
469,1,17,6,1,1,19,106.5,1,0,1,1,0,19,5,10,3,10.5,5,11,3,10.8,1.79
1062,2,51,1,1,1,37,120.3,0,0,1,0,0,35,7,7,0,0.0,6,0,0,0.0,3.51
3607,1,1,2,1,1,19,121.9,1,0,1,0,1,18,6,7,6,12.666666666666666,6,6,6,13.333333333333334,2.02
2399,1,1,6,1,1,19,130.5,1,0,1,0,0,18,8,12,7,11.971428571428572,8,12,7,11.971428571428572,-1.7
292,1,1,1,1,1,19,116.3,1,0,1,0,0,24,6,9,4,12.6,6,6,4,11.5,-1.7
1346,2,39,1,1,19,19,131.0,0,1,0,1,0,42,4,5,0,0.0,4,4,0,0.0,0.79
2793,1,1,3,1,1,1,130.3,1,0,1,0,1,18,8,8,8,14.15375,8,8,8,14.15375,-3.12
1058,1,17,2,1,1,19,121.3,1,0,1,0,1,20,8,8,7,12.464285714285714,8,8,7,12.464285714285714,1.74
2146,1,1,1,1,1,1,141.7,0,0,0,1,0,18,6,8,5,11.6,6,11,4,13.0,3.51
1253,1,17,1,1,1,1,126.7,1,0,0,1,0,22,1,1,0,0.0,6,0,0,0.0,1.79
2866,2,39,1,0,1,37,133.2,0,0,0,1,0,43,5,13,2,11.5,5,12,3,10.8,0.79
2974,1,42,1,1,6,37,145.0,0,0,1,0,0,21,21,33,18,14.933333333333334,21,33,18,14.933333333333334,0.32
3444,1,17,1,0,1,37,122.2,1,1,1,0,0,19,6,6,6,12.166666666666666,6,7,6,11.666666666666666,1.74
978,1,1,2,1,1,2,168.5,1,0,1,1,0,21,6,7,5,14.6,6,6,5,14.2,-0.92
741,1,17,1,1,1,19,107.7,0,0,1,0,0,19,5,7,2,10.0,5,11,2,14.0,1.74
2549,1,1,6,1,1,1,125.0,1,0,1,0,1,18,8,8,8,12.32,8,8,8,12.32,-3.12
2703,1,1,1,1,1,37,150.8,1,0,1,0,0,27,6,13,2,11.0,6,14,1,11.0,0.32
108,1,17,1,1,1,19,113.0,1,0,1,0,0,20,5,7,4,12.2,5,5,4,11.5,0.32
2878,1,17,6,1,1,1,130.7,1,0,1,1,1,18,7,7,7,12.718571428571428,8,11,8,12.805555555555555,2.02
2874,1,17,3,1,1,37,116.2,0,0,1,1,0,18,5,10,0,0.0,5,13,0,0.0,-3.12
1251,1,43,1,1,1,19,132.7,1,0,1,1,0,22,13,13,13,14.0,12,13,12,13.0,-4.06
2092,1,17,1,1,1,19,111.9,0,0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,3.51
3451,1,1,1,1,1,37,134.6,0,0,1,1,0,20,5,5,5,13.6,5,7,5,13.0,-3.12
2452,2,39,1,0,1,37,128.5,0,0,1,0,1,38,6,6,5,12.4,6,7,6,12.666666666666666,-3.12
2133,1,1,3,1,1,38,120.8,1,0,1,0,0,19,6,7,6,12.285714285714286,6,7,6,12.833333333333334,1.79
576,2,39,1,0,1,37,133.2,1,0,1,1,0,32,5,5,0,0.0,5,5,0,0.0,0.32
2758,1,1,4,1,1,1,117.4,1,0,1,0,1,18,5,7,5,12.0,5,10,5,11.4,3.51
3250,1,17,3,1,1,37,127.3,1,0,1,0,0,20,7,7,6,13.383333333333333,7,7,6,13.383333333333333,0.32
2330,1,18,3,1,1,1,161.2,1,0,1,0,0,18,6,8,6,13.714285714285714,6,8,6,14.375,0.79
473,2,1,1,1,1,37,120.4,0,0,1,0,0,20,6,7,6,11.5,6,6,6,11.666666666666666,0.32
2998,1,1,6,1,1,12,121.8,1,0,1,0,0,19,7,8,6,13.731666666666667,8,10,7,13.771428571428572,1.79
159,1,7,1,1,3,3,150.0,0,0,1,0,0,35,5,0,0,0.0,5,0,0,0.0,0.79
3589,1,43,1,0,1,37,100.0,1,0,1,0,0,27,5,5,0,0.0,5,5,0,0.0,0.32
479,1,1,1,1,1,1,133.9,0,0,1,0,1,18,5,5,5,15.0,5,5,5,15.2,-1.7
2374,1,17,1,1,1,3,132.5,1,0,1,0,0,19,6,7,6,12.5,6,7,6,12.5,1.74
1944,1,39,1,1,1,3,110.0,0,0,1,1,0,31,6,8,6,15.125,6,10,6,14.6,-0.92
150,1,17,3,1,1,38,129.0,1,0,1,0,1,18,7,7,6,13.05,7,7,6,13.05,0.32
2472,1,53,1,1,42,1,145.2,1,0,1,0,0,20,11,13,11,14.615384615384617,9,11,9,13.7,3.51
2694,2,7,1,0,3,35,140.0,0,0,0,0,0,59,15,22,12,13.333333333333334,8,8,8,12.875,1.74
1364,1,1,3,1,1,1,131.0,1,0,1,0,0,18,8,8,7,14.7,8,8,7,14.7,1.74
1338,2,39,1,1,1,37,120.0,0,0,1,0,0,47,7,16,6,12.514285714285716,7,15,4,11.75,-1.7
2421,2,39,1,1,19,37,100.0,0,0,1,0,0,45,6,11,3,12.333333333333334,6,13,2,11.0,0.32
1160,1,1,2,1,1,3,130.9,1,0,1,0,0,18,6,8,6,11.333333333333334,6,8,5,12.6,-3.12
380,1,51,1,1,1,19,124.5,0,0,1,0,1,20,11,11,11,13.818181818181818,11,11,11,13.454545454545457,2.02
3474,1,1,1,1,1,38,127.2,0,1,0,1,0,20,5,7,3,11.333333333333334,5,8,2,11.5,0.32
487,1,17,1,1,1,38,111.5,0,0,0,0,1,20,6,10,4,12.0,6,14,3,10.0,0.32
1834,1,39,1,1,1,1,150.0,0,0,1,1,0,24,8,8,7,12.742857142857144,8,8,7,12.742857142857144,-1.7
889,1,43,1,1,1,1,100.0,1,0,1,0,0,20,7,8,7,13.1,8,8,8,14.8125,0.79
2329,1,53,1,1,42,1,125.8,0,1,1,0,0,21,13,21,11,11.909090909090908,11,14,11,10.727272727272728,3.51
116,1,1,4,1,1,12,124.7,1,0,1,0,0,19,5,10,0,0.0,5,10,0,0.0,0.32
3323,1,1,1,1,1,19,110.0,1,0,1,0,0,18,6,6,5,12.6,6,8,6,12.0,2.02
1425,1,43,1,1,1,34,131.9,0,0,1,0,1,29,16,17,16,12.588235294117649,13,14,13,13.357142857142858,-3.12
2567,1,1,1,1,1,1,114.4,0,0,1,0,1,18,6,6,6,12.666666666666666,6,6,6,12.833333333333334,2.02
1140,1,53,1,1,42,1,114.2,0,0,1,1,1,23,6,7,5,13.0,6,7,6,12.857142857142858,3.51
1165,1,44,1,1,39,12,147.7,0,1,1,0,1,22,7,7,7,13.571428571428571,9,9,9,13.77777777777778,1.79
1878,1,51,1,1,1,1,110.0,1,0,1,1,0,23,6,7,6,13.333333333333334,6,6,4,12.75,2.02
2596,1,1,1,1,1,1,126.2,0,1,0,0,1,21,6,7,6,13.428571428571429,6,8,6,11.333333333333334,3.51
1756,1,43,1,1,1,38,125.9,0,0,1,0,1,19,6,0,0,0.0,6,11,1,10.0,1.74
2615,1,39,1,1,1,19,100.0,0,0,0,1,0,29,6,9,0,0.0,6,6,0,0.0,0.79
848,1,17,1,1,1,38,123.7,0,0,1,0,0,20,6,6,6,14.5,6,7,6,13.5,2.02
3478,1,17,1,1,1,19,111.4,1,0,0,0,0,19,6,13,4,11.0,6,13,2,11.5,-1.7
3156,1,1,3,1,1,19,113.0,1,0,1,1,0,19,6,6,6,13.833333333333334,6,6,6,13.666666666666666,2.02
1600,1,1,1,1,1,4,123.7,1,0,1,0,0,19,6,6,6,12.666666666666666,6,8,5,11.4,1.79
3436,1,43,1,0,39,37,160.0,0,0,1,0,0,24,10,16,3,11.666666666666666,10,24,6,11.833333333333334,-3.12
1076,1,1,1,1,1,19,105.8,1,0,1,1,0,22,7,8,6,14.333333333333334,8,9,7,13.771428571428572,2.02
2401,1,43,1,1,1,34,130.0,0,1,1,0,0,23,6,11,1,16.0,6,8,4,12.25,0.32
2002,1,42,1,1,1,38,133.5,1,0,1,1,0,21,5,10,5,13.0,5,10,5,12.6,-3.12
1274,1,1,1,1,1,38,125.6,1,0,1,0,1,18,6,6,6,12.666666666666666,6,6,6,12.0,-3.12
1016,1,1,1,1,1,19,123.4,0,0,1,0,1,18,7,7,7,14.604285714285712,8,9,8,15.68333333333333,2.02
2714,2,43,1,1,3,38,120.0,1,0,1,0,0,33,12,22,10,13.3,11,11,11,13.727272727272728,-3.12
1029,1,39,1,0,1,19,125.7,0,0,1,0,0,26,5,9,2,12.0,5,9,3,11.0,1.74
556,1,17,2,1,1,19,123.3,1,0,1,0,0,22,6,7,6,10.833333333333334,6,6,6,10.666666666666666,0.79
2600,1,17,3,1,1,12,116.9,1,1,1,0,0,18,6,7,5,12.2,6,10,4,12.25,1.79
1000,2,39,2,1,1,19,101.0,0,1,0,0,0,29,5,8,3,10.666666666666666,5,14,2,14.8,1.74
2592,1,1,1,1,1,19,117.5,1,0,1,0,0,19,5,9,5,13.6,5,5,5,12.4,-1.7
2124,1,17,2,0,1,37,117.6,1,0,1,0,0,19,6,8,5,12.2,6,7,6,12.0,0.32
212,1,17,1,0,40,37,124.9,0,0,1,0,0,29,5,10,5,13.571428571428571,5,14,5,12.333333333333334,-0.92
2030,2,39,1,1,19,37,110.0,0,0,0,1,0,29,5,5,0,0.0,5,5,0,0.0,-1.7
